"Point","Elongation","Force","Position","Code","Samplerate","Motorspeed"
.1,0,3.7384,-1.359,2,100,"0.1 mm/min"
.2,0,3.7228,-1.359,0,100,"0.1 mm/min"
.3,0,3.7197,-1.359,0,100,"0.1 mm/min"
.4,0,3.7852,-1.359,0,100,"0.1 mm/min"
.5,0,3.7884,-1.359,0,100,"0.1 mm/min"
.6,0,3.8009,-1.359,0,100,"0.1 mm/min"
.7,0,3.8165,-1.359,0,100,"0.1 mm/min"
.8,0,3.829,-1.359,0,100,"0.1 mm/min"
.9,0,3.8477,-1.359,0,100,"0.1 mm/min"
1,0,3.8727,-1.359,0,100,"0.1 mm/min"
1.1,0,3.8852,-1.359,0,100,"0.1 mm/min"
1.2,0,3.9008,-1.359,0,100,"0.1 mm/min"
1.3,0,3.9226,-1.359,0,100,"0.1 mm/min"
1.4,0,3.9445,-1.359,0,100,"0.1 mm/min"
1.5,0,3.9632,-1.359,0,100,"0.1 mm/min"
1.6,0,3.9851,-1.359,0,100,"0.1 mm/min"
1.7,0,4.0038,-1.359,0,100,"0.1 mm/min"
1.8,0,4.0225,-1.359,0,100,"0.1 mm/min"
1.9,0,4.0412,-1.359,0,100,"0.1 mm/min"
2,0,4.06,-1.359,0,100,"0.1 mm/min"
2.1,.001,4.085,-1.36,0,100,"0.1 mm/min"
2.2,.001,4.1068,-1.36,0,100,"0.1 mm/min"
2.3,.001,4.1255,-1.36,0,100,"0.1 mm/min"
2.4,.001,4.1443,-1.36,0,100,"0.1 mm/min"
2.5,.001,4.163,-1.36,0,100,"0.1 mm/min"
2.6,.001,4.1817,-1.36,0,100,"0.1 mm/min"
2.7,.001,4.1973,-1.36,0,100,"0.1 mm/min"
2.8,.001,4.213,-1.36,0,100,"0.1 mm/min"
2.9,.001,4.2379,-1.36,0,100,"0.1 mm/min"
3,.001,4.2504,-1.36,0,100,"0.1 mm/min"
3.1,.001,4.2785,-1.36,0,100,"0.1 mm/min"
3.2,.001,4.2879,-1.36,0,100,"0.1 mm/min"
3.3,.001,4.3035,-1.36,0,100,"0.1 mm/min"
3.4,.001,4.316,-1.36,0,100,"0.1 mm/min"
3.5,.001,4.3316,-1.36,0,100,"0.1 mm/min"
3.6,.001,4.3472,-1.36,0,100,"0.1 mm/min"
3.7,.001,4.3597,-1.36,0,100,"0.1 mm/min"
3.8,.001,4.3753,-1.36,0,100,"0.1 mm/min"
3.9,.001,4.3878,-1.36,0,100,"0.1 mm/min"
4,.001,4.4034,-1.36,0,100,"0.1 mm/min"
4.1,.001,4.4284,-1.36,0,100,"0.1 mm/min"
4.2,.001,4.444,-1.36,0,100,"0.1 mm/min"
4.3,.001,4.4565,-1.36,0,100,"0.1 mm/min"
4.4,.001,4.4783,-1.36,0,100,"0.1 mm/min"
4.5,.001,4.4939,-1.36,0,100,"0.1 mm/min"
4.6,.001,4.5095,-1.36,0,100,"0.1 mm/min"
4.7,.001,4.5345,-1.36,0,100,"0.1 mm/min"
4.8,.001,4.5501,-1.36,0,100,"0.1 mm/min"
4.9,.001,4.5657,-1.36,0,100,"0.1 mm/min"
5,.001,4.6001,-1.36,0,100,"0.1 mm/min"
5.1,.001,4.6157,-1.36,0,100,"0.1 mm/min"
5.2,.001,4.6469,-1.36,0,100,"0.1 mm/min"
5.3,.001,4.6719,-1.36,0,100,"0.1 mm/min"
5.4,.002,4.6937,-1.361,0,100,"0.1 mm/min"
5.5,.002,4.7156,-1.361,0,100,"0.1 mm/min"
5.6,.002,4.7437,-1.361,0,100,"0.1 mm/min"
5.7,.002,4.7624,-1.361,0,100,"0.1 mm/min"
5.8,.002,4.7843,-1.361,0,100,"0.1 mm/min"
5.9,.002,4.8061,-1.361,0,100,"0.1 mm/min"
6,.002,4.8373,-1.361,0,100,"0.1 mm/min"
6.1,.002,4.8654,-1.361,0,100,"0.1 mm/min"
6.2,.002,4.8967,-1.361,0,100,"0.1 mm/min"
6.3,.002,4.9248,-1.361,0,100,"0.1 mm/min"
6.4,.002,4.9497,-1.361,0,100,"0.1 mm/min"
6.5,.002,4.9841,-1.361,0,100,"0.1 mm/min"
6.6,.003,5.0059,-1.362,0,100,"0.1 mm/min"
6.7,.003,5.0278,-1.362,0,100,"0.1 mm/min"
6.8,.003,5.0559,-1.362,0,100,"0.1 mm/min"
6.9,.003,5.0902,-1.362,0,100,"0.1 mm/min"
7,.003,5.1121,-1.362,0,100,"0.1 mm/min"
7.1,.003,5.1464,-1.362,0,100,"0.1 mm/min"
7.2,.003,5.1745,-1.362,0,100,"0.1 mm/min"
7.3,.003,5.212,-1.362,0,100,"0.1 mm/min"
7.4,.003,5.2338,-1.362,0,100,"0.1 mm/min"
7.5,.003,5.2651,-1.362,0,100,"0.1 mm/min"
7.6,.004,5.3056,-1.363,0,100,"0.1 mm/min"
7.7,.004,5.3306,-1.363,0,100,"0.1 mm/min"
7.8,.004,5.3556,-1.363,0,100,"0.1 mm/min"
7.9,.004,5.3837,-1.363,0,100,"0.1 mm/min"
8,.004,5.4149,-1.363,0,100,"0.1 mm/min"
8.1,.004,5.4492,-1.363,0,100,"0.1 mm/min"
8.2,.004,5.4742,-1.363,0,100,"0.1 mm/min"
8.3,.004,5.5179,-1.363,0,100,"0.1 mm/min"
8.4,.004,5.546,-1.363,0,100,"0.1 mm/min"
8.5,.004,5.5772,-1.363,0,100,"0.1 mm/min"
8.6,.004,5.6147,-1.363,0,100,"0.1 mm/min"
8.7,.004,5.6459,-1.363,0,100,"0.1 mm/min"
8.8,.004,5.6772,-1.363,0,100,"0.1 mm/min"
8.9,.004,5.7084,-1.363,0,100,"0.1 mm/min"
9,.004,5.7396,-1.363,0,100,"0.1 mm/min"
9.1,.005,5.7802,-1.364,0,100,"0.1 mm/min"
9.2,.005,5.8083,-1.364,0,100,"0.1 mm/min"
9.3,.005,5.8426,-1.364,0,100,"0.1 mm/min"
